Corus 	Mesos 	Sicusia 	Coresia 	Higolis
Bori 	Pita 	Colium 	Kambrea 	Stros
Tenes 	Bydoria 	Sklene 	Kyri 	Dica
Hēmenea 	Nios 	Pixos 	Sidrus 	Epia
Acargon 	Bores 	Artenea 	Benia 	Rinia
Skopus 	Edera 	Pizi 	Vasaea 	Ambrea
Oris 	Erkios 	Therae 	Chige 	Rhon
Laracus 	Cratra 	Megia 	Orgas 	Thymnae
Bythrae 	Henea 	Phene 	Chra 	Gone
Elium 	Ales 	Asinia 	Cyrous 	Phlium
Bybarna 	Erkion 	Akydos 	Sthone 	Galos
Imbrene 	Alis 	Prissos 	Anaxos 	Tyressa
Betris 	Dimmea 	Aytria 	Cyria 	Abyzana
Diona 	Mytos 	Malios 	Thigens 	Tyrmos
Kepi 	Trassus 	Barysa 	Lexanai 	Tasa
Alaüs 	Ayth 	Phymna 	Arene 	Hagne
Kampsa 	Polinia 	Kyntium 	Nagrae 	Lebea
Tylaria 	Chame 	Thilara 	Zandus 	Sinicum
Odeleum 	Hybari 	Knios 	Thara 	Zantiri
Vastus 	Messaca 	Chagia 	Abia 	Pyrea
Myrmis 	Rhilis 	Myracus 	Patheon 	Kous
Senus 	Niaseia 	Atakra 	Phion 	Trion
Tegion 	Imbron 	Skon 	Pheraea 	Psyrii
Borios 	Treucia 	Iona 	Dicoli 	Olium
Aleum 	Teleus 	Baragon 	Knia 	Helia
Taurine 	Rhena 	Pros 	Ianoe 	Tanas
Pelia 	Taros 	Hergae 	Colike 	Aenea
Borus 	Orenia 	Antili 	Byzana 	Amartae
Mylinos 	Theon 	Cropos 	Bylla 	Pinia
Marysa 	Theli 	Pacida 	Olissus 	Phlia
Meia 	Kassus 	Latinos 	Tyla 	Hyrea
Stum 	Line 	Menon 	Troezu 	Aytium
Pria 	Acaphos 	Mones 	Euthos 	Hypeia
Orcyri 	Gous 	Zanos 	Chasa 	Assusa
Emion 	Pitinia 	Pronae 	Sitanos 	Ambria
Kamphis 	Anthis 	Golis 	Phoreum 	Copus
Kasuf 	Agorii 	Byla 	Phida 	Orylis
Pelis 	Hermos 	Peletum 	Bourna 	Scuros
Traion 	Panos 	Iasmeki 	Stica 	Oene
Antidus 	Tantum 	Maionia 	Perna 	Halea
Hargara 	Amosia 	Paroezu 	Asia 	Sindrus
Semis 	Teiros 	Antus 	Palia 	Amioc
Rhypene 	Gouroe 	Chalis 	Stium 	Tyria
Aionae 	Betras 	Anton 	Phassa 	Olia
Cnicea 	Potos 	Gonae 	Kime 	Kerae
Agium 	Olissos 	Eria 	Hyroi 	Decuris
Aene 	Ankos 	Hison 	Cnirus 	Antis
Heos 	Hares 	Bylaion 	Sidna 	Philea
Selessa 	Megium 	Zakydon 	Chlion 	Sklenes
Phimbra 	Halis 	Ermios 	Orenea 	Dione
Carsos 	Dembria 	Aratida 	Hila 	Cros
Thidae 	Cnia 	Pinus 	Assofa 	Croy
Bhrome 	Tarizi 	Chilara 	Dymagas 	Antos
Penus 	Promes 	Chalysa 	Mene 	Traphai
